trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.6, 'e': 0.25748460676394874}",20,0,18.117869503204233,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.6, 'e': 0.2549097606963093}",20,8,-16.298928589642106,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.6, 'e': 0.2523606630893462}",20,0,10.146595533850931,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
138,False,"{'a': 0.6, 'e': 0.2498370564584527}",25,9,12.028024891957312,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.6, 'e': 0.24733868589386818}",20,2,-34.41718751983106,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
140,False,"{'a': 0.6, 'e': 0.24486529903492948}",30,9,4.815060705283017,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 0}",1
141,False,"{'a': 0.6, 'e': 0.2424166460445802}",20,13,8.490129627190873,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.6, 'e': 0.2399924795841344}",20,16,6.309112412909439,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.6, 'e': 0.23759255478829303}",20,0,17.790351688206048,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
144,False,"{'a': 0.6, 'e': 0.23521662924041012}",25,12,22.483064596269866,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.6, 'e': 0.232864462948006}",30,10,-4.064651220713712,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.6, 'e': 0.23053581831852593}",25,0,-24.300833751145728,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
147,False,"{'a': 0.6, 'e': 0.22823046013534068}",20,0,13.699064967443379,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
148,False,"{'a': 0.6, 'e': 0.22594815553398728}",20,11,8.543473964031154,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.6, 'e': 0.2236886739786474}",20,9,17.518975760555676,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.6, 'e': 0.22145178723886091}",25,12,20.567703641626487,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.6, 'e': 0.2192372693664723}",20,0,18.49804069154494,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
152,False,"{'a': 0.6, 'e': 0.21704489667280757}",20,11,-7.532011531520104,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
153,False,"{'a': 0.6, 'e': 0.2148744477060795}",25,13,-1.1851861064654026,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.6, 'e': 0.2127257032290187}",20,0,31.0620178560616,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.6, 'e': 0.21059844619672852}",20,14,12.10183314707828,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.6, 'e': 0.20849246173476124}",20,5,13.16834251655472,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.6, 'e': 0.2064075371174136}",30,11,-29.507433800283557,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
158,False,"{'a': 0.6, 'e': 0.2043434617462395}",20,0,17.711877059842255,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.6, 'e': 0.2023000271287771}",20,16,6.624268451660168,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.6, 'e': 0.2002770268574893}",30,7,0.6281651807391841,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
161,False,"{'a': 0.6, 'e': 0.19827425658891443}",25,4,18.613245035186072,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.6, 'e': 0.19629151402302528}",25,13,13.375013152366837,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.6, 'e': 0.19432859888279502}",20,13,11.361398233146954,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.6, 'e': 0.19238531289396707}",30,24,13.724633090536393,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.6, 'e': 0.1904614597650274}",25,0,-19.013520484377736,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
166,False,"{'a': 0.6, 'e': 0.1885568451673771}",25,2,21.82015299958584,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.6, 'e': 0.18667127671570335}",35,0,36.22346360109331,"{0: 33, 1: 1, 2: 1, 3: 0, 4: 0}",0
168,False,"{'a': 0.6, 'e': 0.1848045639485463}",30,11,16.101410106923076,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
